,price,area,zone,category,age,floor,rooms,out,conservation,baths,garage,elevator,streetcategory,heating,storage
1,228000,75.30999756,Z45,4B,33,3,5,E100,2B,1,0,1,S3,3A,0
2,409000,100.6500015,Z31,3B,5,7,5,E50,1A,2,1,1,S5,4A,1
3,2.00E+05,88.87000275,Z52,3A,14,8,5,E50,1A,2,0,1,S2,3A,0
4,180000,62.61000061,Z62,4A,41,3,4,E50,2A,1,0,0,S3,1A,0
5,443600,146.1499939,Z31,3A,22,6,7,E100,1A,2,0,1,S4,4A,1
6,173000,77.20999908,Z11,4B,35,4,5,E50,1A,1,0,0,S4,3A,1
7,245000,77.04000092,Z47,3A,14,6,4,E50,1A,1,0,1,S3,4A,1
8,210000,62.90000153,Z48,3B,36,3,4,E100,3A,1,0,0,S3,3A,1
9,188982.23,58.47999954,Z11,4B,37,4,4,E25,2A,1,0,0,S4,3A,1
10,193000,59.15999985,Z11,3B,11,5,4,E50,1A,1,0,0,S4,3A,1
11,333000,111.4000015,Z37,4B,36,6,6,E50,2B,2,0,1,S2,4A,1
12,224000,66.12000275,Z48,4B,10,3,5,E100,1A,1,0,0,S3,3A,1
13,560000,155.8999939,Z21,2B,7,4,6,E100,1A,2,1,1,S4,3B,1
14,214400,69.02999878,Z36,4B,9,2,5,E100,1A,1,0,1,S4,3A,1
15,268000,86.26999664,Z61,3B,14,6,5,E100,1A,1,0,1,S4,3A,1
16,230000,64.58000183,Z37,3B,10,4,4,E50,1A,1,0,0,S2,3A,0
17,207500,67.68000031,Z48,3B,31,4,4,E100,1A,1,0,0,S3,3A,1
18,254000,82.11000061,Z61,3B,25,4,5,E100,2B,1,0,1,S4,3A,1
19,221000,86.44999695,Z46,4A,16,2,5,E100,2A,1,0,1,S3,3A,1
20,360500,108.7399979,Z43,3A,14,3,5,E75,1A,2,1,1,S3,4A,1
21,250000,74.79000092,Z45,3B,16,4,5,E50,1A,1,0,1,S3,3A,1
22,380000,103,Z37,3B,15,3,6,E50,1A,1,1,1,S3,3A,1
23,338000,106.1500015,Z56,3A,4,2,5,E100,1A,2,0,1,S3,3A,1
24,372000,115.5899963,Z44,3B,17,4,6,E100,1A,2,1,1,S4,3A,1
25,290000,93.05999756,Z53,3A,10,8,5,E100,1A,2,0,1,S3,3A,1
26,270000,78.72000122,Z36,3B,18,9,5,E50,1A,1,0,1,S4,3A,1
27,330000,94.52999878,Z56,2B,7,3,4,E100,1A,2,1,1,S3,3A,1
28,340000,121.5100021,Z46,3B,31,6,6,E100,2B,2,0,1,S3,4A,1
29,270000,86.8199997,Z53,3A,14,7,5,E100,1A,2,0,1,S3,3A,1
30,258000,71.80000305,Z32,3B,12,2,4,E50,1A,1,0,1,S3,3A,1
31,407000,187.9100037,Z31,4A,38,3,6,E50,2B,1,0,1,S5,4A,1
32,178000,53,Z62,4B,59,3,4,E50,2B,1,0,0,S3,1A,0
33,333000,91.88999939,Z41,3B,14,5,5,E100,1A,2,1,1,S4,4A,1
34,403000,118.8600006,Z41,3A,25,5,6,E100,1A,2,1,1,S4,4A,1
35,204000,62.15000153,Z62,3B,13,3,5,E50,1A,1,0,0,S3,3A,0
36,198000,59,Z41,4B,25,5,4,E100,1A,1,0,0,S3,3A,1
37,330500,110.7099991,Z61,3A,18,5,5,E100,1A,2,1,1,S3,4A,1
38,220000,60.33000183,Z41,4A,31,2,4,E100,2B,1,0,0,S3,3A,1
39,373000,103.7200012,Z37,3A,29,3,5,E50,1A,2,1,1,S2,4A,1
40,230000,64.94000244,Z45,3A,35,6,5,E50,2B,1,0,1,S3,3A,1
41,278000,85.54000092,Z41,3A,11,3,5,E100,1A,2,0,1,S2,3A,1
42,281500,94.95999908,Z37,4B,21,3,5,E50,1A,1,0,0,S2,3A,1
43,227500,86.11000061,Z46,3A,14,7,5,E100,2A,1,0,1,S3,3A,1
44,178000,108.4400024,Z11,4B,118,3,5,E50,2B,1,0,0,S4,3A,1
45,269500,86.69000244,Z47,2B,14,5,5,E100,1A,2,0,1,S3,4A,1
46,292000,91.12000275,Z53,3B,8,5,5,E100,1A,2,0,1,S3,3A,1
47,235300,79.0699997,Z32,3B,10,3,4,E100,1A,1,0,1,S3,3A,1
48,426200,141.4799957,Z42,3A,13,5,5,E100,1A,2,1,1,S5,3A,1
49,188000,64.69999695,Z62,3B,14,5,4,E100,1A,1,0,0,S3,3A,0
50,326000,86.86000061,Z41,3B,15,4,5,E100,1A,2,1,1,S2,3A,1
51,429400,155.6799927,Z42,3A,14,5,6,E100,1A,2,0,1,S5,3A,1
52,215000,77.98999786,Z61,3B,16,8,5,E50,1A,1,0,1,S4,3A,0
53,168000,81.90000153,Z11,4A,26,2,4,E50,1A,1,0,0,S4,3A,0
54,308000,104.2699966,Z52,3A,7,2,5,E50,1A,2,1,1,S3,3A,1
55,345000,114.7799988,Z31,3B,16,4,5,E50,1A,2,1,1,S5,3A,1
56,390000,90.91999817,Z41,2A,10,3,5,E100,1A,2,1,1,S4,3B,1
57,382000,132.4199982,Z31,3B,31,5,6,E50,2B,2,0,1,S4,4A,1
58,343000,115.5899963,Z44,3B,16,5,6,E100,1A,2,1,1,S4,3A,1
59,210000,80.47000122,Z62,4A,22,5,5,E50,2B,1,0,0,S3,3A,1
60,290000,97,Z37,4A,37,5,5,E75,2A,1,0,0,S2,3A,0
61,260000,82.19999695,Z44,3B,11,2,4,E50,1A,1,0,1,S4,4A,1
62,184000,53.84000015,Z62,4B,59,4,4,E100,2B,1,0,0,S3,3A,1
63,270000,99.55000305,Z52,4A,11,12,5,E100,1A,2,0,1,S2,3A,0
64,329000,92.94000244,Z56,3A,7,3,5,E100,1A,2,1,1,S2,3A,1
65,226800,67.26000214,Z45,4A,20,5,5,E50,1A,1,0,0,S3,3A,1
66,240000,80,Z35,3B,20,2,5,E100,1A,1,0,0,S4,3A,0
67,291500,69.18000031,Z56,2B,9,7,4,E100,1A,1,1,1,S3,3A,1
68,351000,130.3699951,Z44,2B,30,12,6,E100,1A,2,0,1,S4,4A,0
69,331600,96.58999634,Z52,3A,8,2,5,E100,1A,2,1,1,S3,3A,2
70,280000,78.58000183,Z32,3B,25,3,5,E50,1A,1,0,1,S3,4A,1
71,256500,89.80000305,Z61,4A,16,3,4,E50,1A,1,0,1,S3,3A,1
72,282000,94.08999634,Z53,3B,8,3,5,E100,1A,2,0,1,S4,3B,1
73,294000,111.3700028,Z53,3B,19,10,5,E100,2B,2,1,1,S4,3A,1
74,314000,96.72000122,Z53,3A,11,4,5,E100,1A,2,0,1,S4,3A,1
75,347500,93.70999908,Z56,3A,8,4,5,E100,1A,2,2,1,S3,3A,1
76,249000,82.5699997,Z61,3B,25,8,5,E100,1A,1,0,1,S4,3A,1
77,334000,91.19000244,Z37,3A,18,5,4,E50,1A,2,0,1,S2,3A,1
78,286000,124.449997,Z52,3A,24,5,7,E50,1A,2,1,1,S2,3A,0
79,325000,105.5800018,Z56,3A,4,2,5,E100,1A,2,1,1,S3,3A,0
80,260000,83.18000031,Z21,4A,36,3,5,E50,2B,1,0,1,S4,3A,1
81,364000,127.3899994,Z37,3B,11,2,5,E50,1A,2,0,1,S2,3A,1
82,290000,81.97000122,Z43,3B,22,3,5,E100,2A,2,0,1,S3,4A,1
83,379500,109.199997,Z42,3A,13,5,5,E100,1A,2,1,1,S4,3A,1
84,270000,90.25,Z62,3A,14,2,5,E50,1A,2,0,1,S3,3A,0
85,246500,74.62999725,Z34,4A,17,5,5,E100,2A,1,0,1,S3,3A,1
86,310500,90.44999695,Z53,3A,6,3,5,E100,1A,2,0,1,S2,3A,1
87,218000,59.20999908,Z46,4A,18,3,5,E100,1A,1,0,1,S3,3A,0
88,233000,63.81000137,Z47,3B,11,8,4,E75,1A,1,0,1,S3,4A,1
89,253000,74.12999725,Z48,4A,13,2,5,E50,1A,1,0,1,S3,3A,1
90,327500,106.1500015,Z56,2A,5,4,5,E50,1A,2,1,1,S3,3B,1
91,296000,92.55999756,Z53,3B,15,2,5,E100,1A,2,0,1,S3,3A,1
92,275000,85.97000122,Z41,5A,15,6,6,E25,2B,1,0,1,S4,1A,0
93,275000,104.9199982,Z11,4A,96,5,4,E50,1A,1,0,0,S3,3A,0
94,199000,64.69000244,Z46,4B,24,5,4,E100,2A,1,0,0,S3,3A,1
95,257500,89.29000092,Z47,3A,11,5,5,E100,1A,2,0,1,S3,4A,1
96,2.00E+05,68.51000214,Z46,4B,26,5,5,E100,2B,1,0,0,S3,3A,0
97,392500,118.6800003,Z41,3A,15,2,5,E100,1A,2,1,1,S4,3A,1
98,232400,66.76999664,Z47,3B,15,3,5,E75,1A,1,0,1,S3,4A,1
99,262000,88.44000244,Z47,3B,18,5,5,E100,1A,2,1,1,S2,3A,1
100,277000,99.84999847,Z52,3A,8,9,5,E100,1A,2,0,1,S2,3A,0
101,270000,93.84999847,Z53,3A,11,3,5,E100,1A,2,0,1,S4,3A,1
102,273500,79.68000031,Z49,3B,10,5,5,E50,1A,2,0,1,S3,4A,1
103,398000,92.20999908,Z41,3A,10,2,5,E100,1A,2,1,1,S4,4A,1
104,258000,81,Z52,3B,15,8,5,E100,1A,1,1,1,S2,4A,1
105,270000,88.70999908,Z32,4A,34,6,5,E50,2B,1,0,1,S5,4A,0
